title,label,label_score
"Masuk Radar Pilwalkot Medan, Menantu Jokowi Bertemu DPW NasDem Sumut",non-clickbait,0
Malaysia Sudutkan RI: Isu Kabut Asap hingga Invasi Babi,non-clickbait,0
Viral! Driver Ojol di Bekasi Antar Pesanan Makanan Pakai Sepeda,clickbait,1
"Kemensos Salurkan Rp 7,3 M bagi Korban Kerusuhan Sosial di Papua",non-clickbait,0
"Terkait Mayat Bayi Mengenaskan di Tangerang, Seorang Pria Ditangkap Polisi",non-clickbait,0
"Uang Rp 1,6 M yang Raib di Parkiran Kantor Gubernur Sumut untuk Honor TAPD",non-clickbait,0
MPR: Amandemen UUD 1945 Tak Akan Melebar ke Mana-mana,non-clickbait,0
Muncul Istana di Tengah Rekonsiliasi Rusuh Papua,non-clickbait,0
"Peringati Tahun Baru Islam, Banyuwangi Kembali Gelar Festival Muharam",non-clickbait,0
"Wanita Asal Kendari Nyaris Diperkosa di Jalanan Makassar, Pelaku Diburu",non-clickbait,0
HNW Sebut GBHN Jamin Rencana Pembangunan RI Jangka Panjang,non-clickbait,0
"Ada Motor Nyangkut di Atas Bambu di Sleman, Kok Bisa?",clickbait,1
JakPro Jawab Protes Adhi Karya soal Tender Proyek JIS Diberi ke Wika,non-clickbait,0
Pesan Gamblang Poyuono Menolak Revisi UU KPK,clickbait,1
"Mayat di Ladang Tebu Malang Adalah Begal, Dibunuh Remaja yang Dipalaknya",non-clickbait,0
"Jenguk BJ Habibie, Ketua Dewan Pers M Nuh: Prosesnya Positif, Bagus",non-clickbait,0
Lokasi Istana Presiden RI di Papua 15 Menit Lewat Jembatan Holtekamp,non-clickbait,0
Hiasan Taman Asia Afrika di Bandung Rusak Diterjang Angin Kencang,non-clickbait,0
"Polemik PB Djarum dan KPAI, Fadli Zon: Mestinya Bisa Dimusyawarahkan",non-clickbait,0
Pengacara Ajukan Penangguhan Penahanan Kivlan Zen,non-clickbait,0
Seorang Pria Depresi Bakar Mobilnya Sendiri di Tempat Pembuangan Akhir,non-clickbait,0
Eksepsi Bassist Boomerang Hubert Henry dalam Kasus Ganja Ditolak Hakim,non-clickbait,0
"Jenguk BJ Habibie di RSPAD, Kepala BPPT: Beliau Semangat Recovery",non-clickbait,0
JK Jenguk Habibie di RSPAD Gatot Soebroto,non-clickbait,0
"Sebuah Mobil Tertimpa Pohon di Pondok Indah, Pengemudi Terluka",non-clickbait,0
Demokrat Akan Bangun Museum dan Art Gallery SBY-Ani di Pacitan,non-clickbait,0
Mendagri Jamin Pelaksanaan UU Otsus di Papua Dilanjutkan,non-clickbait,0
KPK Cegah Ketua Fraksi Golkar Melchias Mekeng ke Luar Negeri,non-clickbait,0
"Tegaskan Dukung Pemerintah, PD: Kami Tak Pernah Kenal Oposisi",non-clickbait,0
"Peredaran Snack Tanpa Izin Dibongkar, Omzet Sebulan Capai Rp 1,5 Miliar",non-clickbait,0
"Mayat Pria Ditemukan di Kalimalang Bekasi, Diduga Korban Tenggelam",non-clickbait,0
"Pesan Anak Habibie ke Penjenguk: Mohon Dimengerti, Bapak Perlu Istirahat",non-clickbait,0
KPK Curhat Pencegahan Korupsi Tak Dianggap: Banyak Uang Negara Diselamatkan,non-clickbait,0
ACT Inisiasi Gerakan Nasional #IndonesiaDermawan,non-clickbait,0
Demokrat Dukung Langkah Jokowi Bangun Istana di Papua,non-clickbait,0
Menkum HAM Sudah Kaji Draf Revisi UU KPK,non-clickbait,0
MPR Gelar Diskusi Evaluasi Pelaksanaan UUD di Yogyakarta,non-clickbait,0
Detik-detik Lima Kendaraan Alami Kecelakaan Beruntun di Cipularang,clickbait,1
Kocak! Maling di Rumah Mewah Jakut Terekam CCTV Bingung Cari Jalan Kabur,clickbait,1
"Selidiki Kasus Ular Dibuang di Asrama Papua, Polisi Terganjal Akses Masuk",non-clickbait,0
KPK Tanggapi DPR: Penegakan Hukum Tak Boleh Terikat Komitmen Politik,non-clickbait,0
Kronologi Barista Tikam Siswi SMK Bandung karena Cinta Ditolak,non-clickbait,0
Pengacara Sebut Dakwaan Kivlan Zen Dipaksakan,non-clickbait,0
Polisi Belanda Tembak Mati Istri dan 2 Putrinya Lalu Bunuh Diri,non-clickbait,0
6 Perampok Bersebo Tembak Warga hingga Tewas di Sumsel,non-clickbait,0
"Tepis Jadi Penyebab Tunggal Kabut Asap, RI Akan Surati Malaysia",non-clickbait,0
"Jokowi Diminta Mekarkan Wilayah Papua, JK: Ada Undang-undangnya",non-clickbait,0
"Respons JK, KPK Sebut SP3 Bisa Disalahgunakan",non-clickbait,0
"Hampir Seluas Jabar, Ini Tantangan Sintang Siapkan Generasi Emas",clickbait,1
"Viral Video Diduga Baku Tembak di Sleman, Ini Kata Polisi",clickbait,1
Kadis PU dan 2 PNS Kabupaten Mandailing Natal Ditahan Kejati Sumut,non-clickbait,0
"Banding Ditolak, Hak Politik Eks Bupati Katingan Dicabut Hakim",non-clickbait,0
"Gadai SK Hal yang Wajar, DPRD Surabaya: Tak Banyak Bank yang Melirik",non-clickbait,0
"Karyawan Pabrik Boneka Keracunan, Polisi Sita Sayur Nangka",non-clickbait,0
"Kecelakaan Beruntun 4 Kendaraan di Lenteng Agung, 2 Pemotor Luka-luka",non-clickbait,0
"KPK Bongkar Mafia Migas: Transaksi Lintas Negara, Tak Mudah Diungkap",non-clickbait,0
"Diawasi di Hong Kong, Aktivis Joshua Wong Terbang ke Berlin",non-clickbait,0
