id,text,label
2736,Penembakan di Green Lake City Dipicu Konflik Urusan Uang John Kei Vs Nus Kei,0
1606,"Ongkos Naik Taksi Online Rp90 Ribu Per Hari, Rangga: Berat Bos",0
2667,Tito Karnavian Ungkap Alasan DKI Tak Menang Lomba New Normal,1
1748,"Kasus George Floyd, Bukti Ketidakadilan Bagi Orang Kulit Hitam AS",0
2945,"Tak Mampu Menguat, IHSG Berakhir Turun 0,47% di 4.919",0
705,Brunei Pakai Helm Pintar Cek Suhu Tubuh di Masjid,0
2016,Tetap Tampil Stylish Saat New Normal dengan Masker Kain Bernuansa Indonesia Desainer Ferry Sunarto hadirkan koleksi masker kain untuk menjalani new normal.,0
2435,Survei: 81 Persen Difabel Mengalami Dampak Negatif Covid-19,0
1617,Sang Adik Yakin Hazard Tidak Akan Gagal di Real Madrid,0
1355,"Vitamin D Bukan Solusi Utama Melawan COVID-19, Berlebihan Bisa Bahaya!",1
3003,"Mendes: BLT Dana Desa Sudah Terserap Rp 4,3 Triliun",0
1377,"Pesona Seo Ye Ji dalam It's Okay To Not Be Okay, Serasi Banget Sama Kim Soo Hyun!",1
605,"4 Fakta Unik Mata, Mampu Kirim Sinyal Tak Terduga ke Otak",1
3095,Pemprov DKI Batasi Peserta Upacara HUT DKI Jakarta,0
3160,Covid-19: Apakah lebih banyak perempuan di India yang meninggal akibat virus corona?,1
3146,Membangun Kembali dengan Lebih Baik,0
1906,Juventus ke Final hingga Quartararo Sungkan Ganti Rossi,1
432,"Ditanya Soal Rencana Menikah Lagi, Nikita Mirzani: Kalau Gua Tajir Melintir Juga Ada yang Gua Kawinin",0
2913,Profil Febry Calvin Tetelepta yang Ditunjuk Jadi Deputi I KSP,1
2635,Tanggapan Valentino Rossi soal Jadwal Baru MotoGP 2020: Tak Sabar Tunggangi M1,0
1526,"Selama Pandemi Corona, Angka Kehamilan di Bekasi Turun",0
2403,Unhas Beri Sejumlah Rekomendasi Penanganan Covid-19,0
1668,Pasar Tradisional dan Modern Kembali Beroperasi,0
1483,Polisi Putar Balik 68.045 Kendaraan Bermotor yang Tak Kantongi SIKM Jakarta,0
1169,Ayu Tenan! Penjual Gorengan di Jogja Ini Bikin Gagal Fokus,1
292,Rezeki Selalu Ada selama Kita Berupaya Menjemputnya,0
1621,Laporan Media: Arab Saudi akan Gelar Haji Tetapi Terbatas?,1
945,[Fakta atau Hoaks] Benarkah Virus Corona Covid-19 Tidak Bahaya dan Tidak Sebabkan Kematian?,1
2514,Dokter Reisa Broto Asmoro Berkecimpung di Tiga Dunia,0
2750,"Akibat Swafoto, Ayah dan 2 Anaknya di Jaktim Tercebur Sumur 12 Meter",1
2706,Jakarta Masih Punya Banyak PR Ekonomi di Usia 493 Tahun,0
1683,"Operasi Kereta Luar Biasa Diperpanjang, Ini Syarat Menumpanginya",1
2098,"Tayang Malam Ini, Berikut Sinopsis Film Anaconda 3",0
2823,Kim Dong Hee Ceritakan Pengalaman Hidup Bersama Ibunya yang Single Parent,1
1695,Start-up etanee.id Galang Donasi dan Sebar 5000 Paket Sembako,0
2618,Tuntutan Jaksa Satu Tahun Penjara Terhadap Penyerang Novel Mengoyak Rasa Keadilan,0
1947,Kepergok Pingsan Tanpa Busana Berujung Pencopotan Jabatan 2 ASN di Asahan,0
2045,"Menu Hari Ini: Omelet Keju, Bola Nasi Tepung, dan Bakmi Goreng",0
470,"Selain Indira Kalistha, Berikut 4 Youtuber yang Pernah Jadi Sorotan di Awal Tahun 2020",1
1593,"PSBB Surabaya Raya Tak Diperpanjang, Gubernur Jatim: Tingkatkan Disiplin Protokol Kesehatan",0
777,"Masa Adaptif New Normal, Pemkot Malang Perketat Protokol Covid-19",0
1933,New Normal Pekerja BUMN ala Erick Thohir,1
3019,"Kaya Sejak Lahir, Ini 4 Fakta Lee Min Ho yang Ulang Tahun Ke-33",1
2390,Turki akan Bangun Dua Pangkalan Militer di Libya,0
